perimetre,modele,kpi,unite,horizon_min,mae,rmse,mape,smape,biais,n,gain_mae_vs_persistance_pct
origines_communes,arima,latency,ms,5,1.0722,2.2805,6.4858,6.3123,-0.0811,600,1.71
origines_communes,arima,latency,ms,15,1.3582,3.5705,7.6973,7.385,-0.1928,600,-0.73
origines_communes,arima,latency,ms,30,1.5485,3.7042,9.0992,8.5802,0.1592,600,-3.48
origines_communes,arima,jitter,ms,5,0.2472,0.3168,5.7179,5.7049,-0.0216,600,5.48
origines_communes,arima,jitter,ms,15,0.2883,0.6685,6.7751,6.4389,0.0107,600,1.48
origines_communes,arima,jitter,ms,30,0.32,0.8998,7.0029,6.7146,-0.0327,600,0.42
origines_communes,arima,packet_loss,%,5,0.1886,0.2399,190701.1082,32.6579,0.0193,600,-4.77
origines_communes,arima,packet_loss,%,15,0.1878,0.2525,119263.5981,29.9757,0.0113,600,-3.32
origines_communes,arima,packet_loss,%,30,0.1907,0.2547,54.4059,31.4465,0.0225,600,-2.03
origines_communes,arima,cell_load,%,5,4.0767,5.1347,7.7981,7.6063,-0.1604,600,2.25
origines_communes,arima,cell_load,%,15,4.6822,5.8775,8.5006,8.4623,-0.7696,600,1.28
origines_communes,arima,cell_load,%,30,5.1747,6.3923,9.6801,9.5205,-0.4178,600,-1.92
origines_communes,xgboost,throughput,Mbit/s,5,2.3053,3.0341,2.59,2.5779,0.0199,600,7.36
origines_communes,xgboost,throughput,Mbit/s,15,2.5626,3.3168,2.8444,2.85,-0.1607,600,13.29
origines_communes,xgboost,throughput,Mbit/s,30,2.5679,3.6144,2.886,2.8589,-0.1441,600,22.29
origines_communes,xgboost,latency,ms,5,0.9815,2.1746,5.7894,5.8106,-0.1351,600,10.02
origines_communes,xgboost,latency,ms,15,1.1351,3.3803,6.209,6.3735,-0.3584,600,15.82
origines_communes,xgboost,latency,ms,30,1.0546,2.6889,6.0581,6.2435,-0.1464,600,29.52
origines_communes,xgboost,jitter,ms,5,0.2386,0.2969,5.6034,5.5781,-0.0198,600,8.77
origines_communes,xgboost,jitter,ms,15,0.2541,0.3848,6.0509,5.9065,0.0104,600,13.16
origines_communes,xgboost,jitter,ms,30,0.2604,0.6581,5.6557,5.7088,-0.0392,600,18.97
origines_communes,xgboost,packet_loss,%,5,0.1686,0.2159,160575.8355,29.9703,0.0114,600,6.34
origines_communes,xgboost,packet_loss,%,15,0.1629,0.2211,115264.4244,26.9801,-0.0114,600,10.38
origines_communes,xgboost,packet_loss,%,30,0.1594,0.2107,39.9596,27.4833,-0.0023,600,14.71
origines_communes,xgboost,cell_load,%,5,3.7168,4.7988,7.1345,6.9342,0.2064,600,10.88
origines_communes,xgboost,cell_load,%,15,4.0182,5.1439,7.4483,7.3348,-0.2272,600,15.28
origines_communes,xgboost,cell_load,%,30,3.9324,4.9543,7.5993,7.3608,0.4113,600,22.55
test_complet,persistance,throughput,Mbit/s,5,2.7647,4.1092,4.0918,3.1591,0.0298,19820,0.0
test_complet,persistance,throughput,Mbit/s,15,2.9301,4.5295,4.3084,3.3327,0.0703,19820,-0.0
test_complet,persistance,throughput,Mbit/s,30,3.3729,5.1012,4.7914,3.8035,0.1245,19820,-0.0
test_complet,persistance,latency,ms,5,1.1498,3.6798,6.871,6.4704,-0.0042,19820,-0.0
test_complet,persistance,latency,ms,15,1.3936,4.6674,7.8353,7.2237,-0.0097,19820,-0.0
test_complet,persistance,latency,ms,30,1.5703,5.3622,8.4919,7.8564,-0.0152,19820,0.0
test_complet,persistance,jitter,ms,5,0.2745,0.4758,6.3092,6.2219,-0.0015,19820,-0.0
test_complet,persistance,jitter,ms,15,0.2885,0.6493,6.4951,6.3368,-0.0033,19820,0.0
test_complet,persistance,jitter,ms,30,0.3088,0.7606,6.8607,6.6496,-0.0055,19820,-0.01
test_complet,persistance,packet_loss,%,5,0.2287,1.774,142440.1265,30.874,-0.0002,19820,0.0
test_complet,persistance,packet_loss,%,15,0.2356,1.8119,148587.1802,31.2748,-0.0005,19820,0.02
test_complet,persistance,packet_loss,%,30,0.2407,1.8135,149969.572,31.743,-0.001,19820,-0.02
test_complet,persistance,cell_load,%,5,4.1748,5.2867,7.639,7.4991,-0.0453,19820,-0.0
test_complet,persistance,cell_load,%,15,4.3795,5.576,7.9598,7.8263,-0.1095,19820,0.0
test_complet,persistance,cell_load,%,30,4.9839,6.3333,8.9184,8.7881,-0.1921,19820,-0.0
test_complet,moyenne_mobile_15m,throughput,Mbit/s,5,2.6833,3.9987,4.0171,3.0509,0.0522,19820,2.94
test_complet,moyenne_mobile_15m,throughput,Mbit/s,15,2.9134,4.4618,4.2909,3.2953,0.0927,19820,0.57
test_complet,moyenne_mobile_15m,throughput,Mbit/s,30,3.4188,5.0118,4.8524,3.829,0.1469,19820,-1.36
test_complet,moyenne_mobile_15m,latency,ms,5,1.2247,3.8226,7.0356,6.5908,-0.0068,19820,-6.52
test_complet,moyenne_mobile_15m,latency,ms,15,1.4188,4.6444,7.8014,7.2381,-0.0122,19820,-1.81
test_complet,moyenne_mobile_15m,latency,ms,30,1.5379,5.0971,8.2334,7.7134,-0.0178,19820,2.06
test_complet,moyenne_mobile_15m,jitter,ms,5,0.2658,0.5286,6.038,5.9208,-0.0026,19820,3.17
test_complet,moyenne_mobile_15m,jitter,ms,15,0.2821,0.6786,6.295,6.1132,-0.0044,19820,2.22
test_complet,moyenne_mobile_15m,jitter,ms,30,0.2983,0.7313,6.6132,6.4216,-0.0066,19820,3.39
test_complet,moyenne_mobile_15m,packet_loss,%,5,0.2225,1.5858,145473.089,29.6108,-0.0003,19820,2.71
test_complet,moyenne_mobile_15m,packet_loss,%,15,0.228,1.6013,147613.3591,30.0621,-0.0006,19820,3.24
test_complet,moyenne_mobile_15m,packet_loss,%,30,0.2305,1.6016,150344.4934,30.261,-0.0011,19820,4.22
test_complet,moyenne_mobile_15m,cell_load,%,5,4.052,5.1187,7.395,7.2575,-0.0796,19820,2.94
test_complet,moyenne_mobile_15m,cell_load,%,15,4.3559,5.5207,7.8743,7.7402,-0.1439,19820,0.54
test_complet,moyenne_mobile_15m,cell_load,%,30,5.0844,6.3928,9.0532,8.9131,-0.2265,19820,-2.02
test_complet,naif_saisonnier_24h,throughput,Mbit/s,5,3.6082,5.4816,5.069,4.1431,-0.072,19820,-30.51
test_complet,naif_saisonnier_24h,throughput,Mbit/s,15,3.6064,5.4803,5.0688,4.1428,-0.0692,19820,-23.08
test_complet,naif_saisonnier_24h,throughput,Mbit/s,30,3.6045,5.4783,5.0689,4.1428,-0.0672,19820,-6.87
test_complet,naif_saisonnier_24h,latency,ms,5,1.7267,5.307,9.6984,9.2381,-0.0953,19820,-50.18
test_complet,naif_saisonnier_24h,latency,ms,15,1.7273,5.3072,9.6988,9.2392,-0.0955,19820,-23.95
test_complet,naif_saisonnier_24h,latency,ms,30,1.727,5.3072,9.6945,9.2335,-0.0936,19820,-9.98
test_complet,naif_saisonnier_24h,jitter,ms,5,0.3789,0.84,8.4628,8.2061,0.0077,19820,-38.03
test_complet,naif_saisonnier_24h,jitter,ms,15,0.3788,0.8399,8.4544,8.1981,0.0076,19820,-31.3
test_complet,naif_saisonnier_24h,jitter,ms,30,0.3788,0.8398,8.4499,8.1929,0.008,19820,-22.69
test_complet,naif_saisonnier_24h,packet_loss,%,5,0.2879,1.9541,137596.0653,40.5117,-0.0013,19820,-25.88
test_complet,naif_saisonnier_24h,packet_loss,%,15,0.2878,1.9541,140471.8588,40.4662,-0.0014,19820,-22.13
test_complet,naif_saisonnier_24h,packet_loss,%,30,0.2877,1.9541,140471.7256,40.4135,-0.0015,19820,-19.55
test_complet,naif_saisonnier_24h,cell_load,%,5,5.2601,6.7541,9.6577,9.5018,0.0126,19820,-26.0
test_complet,naif_saisonnier_24h,cell_load,%,15,5.2612,6.7558,9.6431,9.4877,0.0133,19820,-20.13
test_complet,naif_saisonnier_24h,cell_load,%,30,5.2595,6.7543,9.6053,9.453,0.0162,19820,-5.53
test_complet,xgboost,throughput,Mbit/s,5,2.5485,3.6692,3.7921,2.9035,-0.0149,19820,7.82
test_complet,xgboost,throughput,Mbit/s,15,2.5699,3.9331,3.9177,2.9201,0.0021,19820,12.29
test_complet,xgboost,throughput,Mbit/s,30,2.5759,3.9379,3.9345,2.9241,0.0019,19820,23.63
test_complet,xgboost,latency,ms,5,1.0585,3.2306,6.0436,6.0095,-0.1529,19820,7.94
test_complet,xgboost,latency,ms,15,1.1323,3.6728,6.2069,6.296,-0.2302,19820,18.75
