configuration,point_de_fonctionnement,n_features,precision,rappel,f1,vp,fp,vn,fn,n,taux_alerte_pct,prevalence_pct,specificite,pr_auc,roc_auc,episodes_reels,episodes_detectes,rappel_episode,delai_median_min,episodes_fausse_alerte,fausses_alertes_par_heure
actuelle,exploitation (non supervisé),23,0.6215,0.6567,0.6386,197,120,19430,103,19850,1.597,1.5113,0.9939,0.6122,0.9598,9,9,1.0,13.5,6,0.0181
actuelle,F1-optimal (choisi sur validation),23,0.7261,0.5567,0.6302,167,63,19487,133,19850,1.1587,1.5113,0.9968,0.6122,0.9598,9,9,1.0,16.0,6,0.0181
optimisée,exploitation (non supervisé),23,0.6141,0.61,0.612,183,115,19435,117,19850,1.5013,1.5113,0.9941,0.5656,0.9611,9,9,1.0,15.5,3,0.0091
optimisée,F1-optimal (choisi sur validation),23,0.635,0.58,0.6063,174,100,19450,126,19850,1.3804,1.5113,0.9949,0.5656,0.9611,9,9,1.0,15.5,2,0.006
