cell_id,debut,duree_min,detecte,part_points_detectes,pic_latence_ratio,pic_packet_loss,score_max
cell_001,2026-08-14 07:22:00+00:00,6,True,1.0,4.565,78.908,0.7565
cell_001,2026-08-15 13:01:00+00:00,25,True,0.96,1.019,0.99,0.6516
cell_001,2026-08-15 21:57:00+00:00,27,True,0.667,2.205,2.36,0.6185
cell_002,2026-08-14 06:48:00+00:00,32,True,0.562,2.014,2.126,0.5822
cell_004,2026-08-16 01:08:00+00:00,36,True,0.75,2.232,2.25,0.6205
cell_004,2026-08-14 19:54:00+00:00,38,True,0.737,2.133,2.47,0.603
cell_004,2026-08-15 00:36:00+00:00,38,True,0.553,1.865,1.506,0.5851
cell_002,2026-08-15 11:27:00+00:00,40,True,0.625,1.913,2.968,0.5902
cell_004,2026-08-16 02:09:00+00:00,58,True,0.466,1.692,1.782,0.5873
